nom_technique,description,date_application,impact_rendement,culture_id
Enrichissement en mycorhizes,Utilisation de cultures de couverture pour améliorer la santé du sol.,hiver,18.34,54
Éclaircissage,Récolte manuelle pour minimiser les pertes de récolte.,automne,15.55,55
Irrigation goutte à goutte,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,printemps,13.11,56
Culture en serre,Ajout de compost pour améliorer la matière organique du sol.,hiver,19.08,57
Application de compost,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,5.0,58
Utilisation de cultures couvre-sol,Culture en serre pour contrôler les conditions de croissance.,été,3.05,59
Culture en serre,Ajout de compost pour améliorer la matière organique du sol.,automne,10.21,60
Technique D'engrais vert,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,hiver,18.53,61
Irrigation goutte à goutte,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,20.24,62
Traitement des semences,Récolte manuelle pour minimiser les pertes de récolte.,hiver,8.85,63
Rotation des cultures,Minimisation du labour pour préserver la structure du sol.,été,5.67,64
Fertilisation foliaire,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,automne,18.4,65
Semis direct,Culture en serre pour contrôler les conditions de croissance.,automne,12.11,66
Irrigation goutte à goutte,Ajout de biofertilisants pour stimuler la croissance des plantes.,printemps,6.02,67
Désherbage manuel,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,été,15.99,68
Éclaircissage des plants,Traitement des graines par la chaleur pour les protéger des maladies.,été,5.32,69
Irrigation goutte à goutte,Ajout de compost pour améliorer la matière organique du sol.,hiver,19.93,70
Traitement des semences,Semis de graines directement sans travail préalable du sol.,printemps,7.46,71
Paillage,Élagage des arbres pour améliorer l'exposition au soleil.,automne,10.2,72
Enrichissement en mycorhizes,Culture en serre pour contrôler les conditions de croissance.,automne,9.43,73
Traitement des semences,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,7.8,74
Paillage,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,1.15,75
Application de biopesticides,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,18.16,76
Irrigation goutte à goutte,Minimisation du labour pour préserver la structure du sol.,été,15.49,77
Application de compost,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,7.39,78
Désherbage manuel,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,11.45,79
Application de compost,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,16.77,80
Utilisation de cultures couvre-sol,Ajout de compost pour améliorer la matière organique du sol.,automne,9.99,81
Technique D'engrais vert,Récolte manuelle pour minimiser les pertes de récolte.,automne,2.38,82
Utilisation de variétés résistantes,Semis de graines directement sans travail préalable du sol.,hiver,8.72,83
Utilisation de variétés résistantes,Minimisation du labour pour préserver la structure du sol.,hiver,2.18,84
Utilisation de cultures couvre-sol,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,été,8.72,85
Éclaircissage,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,12.34,86
Fertilisation foliaire,Ajout de compost pour améliorer la matière organique du sol.,printemps,9.12,87
Utilisation de cultures couvre-sol,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,11.92,88
Technique D'engrais vert,Ajout de compost pour améliorer la matière organique du sol.,printemps,10.25,89
Technique D'engrais vert,Utilisation de cultures de couverture pour améliorer la santé du sol.,automne,10.72,90
Désherbage manuel,Ajout de compost pour améliorer la matière organique du sol.,automne,11.33,91
Technique D'engrais vert,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,automne,8.26,92
Application de compost,Culture en serre pour contrôler les conditions de croissance.,hiver,17.62,93
Application de biopesticides,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,5.93,94
Culture en serre,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,automne,2.17,95
Rotation des cultures,Élagage des arbres pour améliorer l'exposition au soleil.,automne,12.35,96
Mulchage,Élagage des arbres pour améliorer l'exposition au soleil.,automne,19.47,97
Éclaircissage des plants,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,automne,12.6,98
Irrigation goutte à goutte,Traitement des graines par la chaleur pour les protéger des maladies.,automne,14.83,99
Application de compost,Rotation des cultures pour réduire les parasites et maladies du sol.,été,3.49,100
Utilisation de cultures couvre-sol,Semis de graines directement sans travail préalable du sol.,hiver,11.97,101
Culture en serre,Récolte manuelle pour minimiser les pertes de récolte.,printemps,8.07,102
Utilisation de variétés résistantes,Utilisation de pesticides biologiques pour protéger les cultures.,automne,11.97,103
Mulchage,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,13.66,104
Mulchage,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,11.67,105
Technique D'engrais vert,Élagage des arbres pour améliorer l'exposition au soleil.,été,10.47,106
Contrôle biologique des nuisibles,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,hiver,20.22,107
Utilisation de variétés résistantes,Ajout de compost pour améliorer la matière organique du sol.,automne,18.23,108
Traitement des semences,Rotation avec des légumineuses pour enrichir le sol en azote.,été,3.89,109
Désherbage manuel,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,été,2.6,110
Fertilisation foliaire,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,automne,16.94,111
Utilisation de cultures couvre-sol,Récolte manuelle pour minimiser les pertes de récolte.,automne,15.08,112
Désherbage manuel,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,printemps,3.63,113
Désherbage manuel,Traitement des graines par la chaleur pour les protéger des maladies.,été,16.64,114
Culture en serre,Rotation avec des légumineuses pour enrichir le sol en azote.,hiver,4.37,115
Irrigation goutte à goutte,Culture en serre pour contrôler les conditions de croissance.,printemps,20.44,116
Traitement des semences,Culture en serre pour contrôler les conditions de croissance.,automne,15.19,117
Contrôle biologique des nuisibles,Rotation avec des légumineuses pour enrichir le sol en azote.,printemps,7.47,118
Inoculation bactérienne,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,automne,14.13,119
Éclaircissage des plants,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,printemps,3.1,120
Irrigation goutte à goutte,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,hiver,14.48,121
Désherbage manuel,Suppression des plants trop proches pour favoriser la croissance des autres.,été,9.13,122
Traitement des semences,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,18.97,123
Irrigation goutte à goutte,Rotation des cultures pour réduire les parasites et maladies du sol.,hiver,10.33,124
Désherbage manuel,Ajout de biofertilisants pour stimuler la croissance des plantes.,printemps,11.18,125
Enrichissement en mycorhizes,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,printemps,9.59,126
Application de compost,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,hiver,18.17,127
Rotation des cultures,Semis de graines directement sans travail préalable du sol.,printemps,9.53,128
Application de biopesticides,Application de fumier pour enrichir le sol en nutriments.,printemps,7.25,129
Fertilisation au compost,Rotation des cultures pour réduire les parasites et maladies du sol.,été,18.59,130
Fertilisation foliaire,Rotation avec des légumineuses pour enrichir le sol en azote.,été,4.4,131
Semis direct,Rotation des cultures pour réduire les parasites et maladies du sol.,automne,15.36,132
Éclaircissage,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,3.98,133
Désherbage manuel,Minimisation du labour pour préserver la structure du sol.,hiver,2.96,134
Semis direct,Traitement des graines par la chaleur pour les protéger des maladies.,automne,14.17,135
Utilisation de variétés résistantes,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,été,6.61,136
Désherbage manuel,Rotation des cultures pour réduire les parasites et maladies du sol.,été,14.05,137
Contrôle biologique des nuisibles,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,été,20.58,138
Éclaircissage,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,automne,19.48,139
Désherbage manuel,Rotation avec des légumineuses pour enrichir le sol en azote.,automne,9.01,140
Application de compost,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,hiver,18.48,141
Éclaircissage des plants,Récolte manuelle pour minimiser les pertes de récolte.,printemps,13.66,142
Rotation des cultures,Utilisation de pesticides biologiques pour protéger les cultures.,hiver,3.41,143
Rotation des cultures,Ajout de compost pour améliorer la matière organique du sol.,printemps,1.42,144
Paillage,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,15.97,145
Semis direct,Utilisation de pesticides biologiques pour protéger les cultures.,printemps,17.57,146
Éclaircissage des plants,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,automne,8.52,147
Culture en serre,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,hiver,4.23,148
Désherbage manuel,Récolte manuelle pour minimiser les pertes de récolte.,hiver,15.25,149
Mulchage,Utilisation de pesticides biologiques pour protéger les cultures.,été,15.96,150
Technique D'engrais vert,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,automne,12.85,151
Fertilisation foliaire,Traitement des graines par la chaleur pour les protéger des maladies.,hiver,10.23,152
Paillage,Ajout de compost pour améliorer la matière organique du sol.,été,12.96,153
Éclaircissage des plants,Suppression des plants trop proches pour favoriser la croissance des autres.,été,4.86,154
Éclaircissage des plants,Rotation avec des légumineuses pour enrichir le sol en azote.,hiver,8.75,155
Application de compost,Utilisation de pesticides biologiques pour protéger les cultures.,été,6.94,156
Mulchage,Élagage des arbres pour améliorer l'exposition au soleil.,été,10.58,157
Désherbage manuel,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,été,18.96,158
Éclaircissage,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,été,16.36,159
Éclaircissage,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,automne,6.8,160
Utilisation de cultures couvre-sol,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,printemps,8.87,161
Utilisation de variétés résistantes,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,20.29,162
Éclaircissage,Culture en serre pour contrôler les conditions de croissance.,été,8.52,163
Irrigation goutte à goutte,Utilisation de cultures de couverture pour améliorer la santé du sol.,printemps,3.11,164
Éclaircissage des plants,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,printemps,10.96,165
Éclaircissage,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,automne,20.8,166
Éclaircissage,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,hiver,14.86,167
Contrôle biologique des nuisibles,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,automne,15.42,168
Mulchage,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,7.43,169
Paillage,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,20.32,170
Inoculation bactérienne,Traitement des graines par la chaleur pour les protéger des maladies.,hiver,9.09,171
Paillage,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,hiver,20.96,172
Traitement des semences,Application de fumier pour enrichir le sol en nutriments.,hiver,12.09,173
Semis direct,Culture en serre pour contrôler les conditions de croissance.,été,1.71,174
Rotation des cultures,Semis de graines directement sans travail préalable du sol.,été,2.58,175
Mulchage,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,18.9,176
Technique D'engrais vert,Culture en serre pour contrôler les conditions de croissance.,hiver,17.63,177
Paillage,Culture en serre pour contrôler les conditions de croissance.,automne,14.63,178
Enrichissement en mycorhizes,Élagage des arbres pour améliorer l'exposition au soleil.,printemps,4.14,179
Utilisation de cultures couvre-sol,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,hiver,7.95,180
Contrôle biologique des nuisibles,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,printemps,20.75,181
Irrigation goutte à goutte,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,printemps,6.55,182
Application de biopesticides,Ajout de compost pour améliorer la matière organique du sol.,automne,19.59,183
Désherbage manuel,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,printemps,11.8,184
Fertilisation au compost,Rotation avec des légumineuses pour enrichir le sol en azote.,été,2.02,185
Semis direct,Irrigation contrôlée pour optimiser l'usage de l'eau.,automne,14.79,186
Rotation des cultures,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,hiver,6.21,187
Application de compost,Ajout de biofertilisants pour stimuler la croissance des plantes.,printemps,11.4,188
Contrôle biologique des nuisibles,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,printemps,12.18,189
Traitement des semences,Récolte manuelle pour minimiser les pertes de récolte.,automne,3.05,190
Enrichissement en mycorhizes,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,printemps,16.09,191
Semis direct,Élagage des arbres pour améliorer l'exposition au soleil.,hiver,7.76,192
Contrôle biologique des nuisibles,Récolte manuelle pour minimiser les pertes de récolte.,printemps,7.78,193
Rotation des cultures,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,été,10.19,194
Fertilisation au compost,Utilisation de cultures de couverture pour améliorer la santé du sol.,printemps,3.68,195
Éclaircissage des plants,Suppression des plants trop proches pour favoriser la croissance des autres.,automne,17.2,196
Technique D'engrais vert,Culture en serre pour contrôler les conditions de croissance.,automne,10.37,197
Désherbage manuel,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,printemps,5.76,198
Désherbage manuel,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,automne,3.84,199
Fertilisation au compost,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,2.29,200
Utilisation de cultures couvre-sol,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,3.23,201
Application de biopesticides,Application de fumier pour enrichir le sol en nutriments.,automne,7.67,202
Utilisation de variétés résistantes,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,3.46,203
Application de compost,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,8.24,204
Fertilisation foliaire,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,été,17.82,205
Culture en serre,Récolte manuelle pour minimiser les pertes de récolte.,printemps,4.97,206
Irrigation goutte à goutte,Ajout de biofertilisants pour stimuler la croissance des plantes.,été,7.53,207
Culture en serre,Minimisation du labour pour préserver la structure du sol.,printemps,19.98,208
Utilisation de variétés résistantes,Minimisation du labour pour préserver la structure du sol.,hiver,1.66,209
Culture en serre,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,16.55,210
Utilisation de variétés résistantes,Semis de graines directement sans travail préalable du sol.,hiver,17.74,211
Traitement des semences,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,11.02,212
Application de biopesticides,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,hiver,1.84,213
Fertilisation au compost,Culture en serre pour contrôler les conditions de croissance.,été,15.84,214
Paillage,Irrigation contrôlée pour optimiser l'usage de l'eau.,été,8.82,215
Rotation des cultures,Traitement des graines par la chaleur pour les protéger des maladies.,été,10.38,216
Fertilisation foliaire,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,printemps,2.96,217
Éclaircissage,Utilisation de cultures de couverture pour améliorer la santé du sol.,été,11.37,218
Désherbage manuel,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,10.76,219
Rotation des cultures,Rotation avec des légumineuses pour enrichir le sol en azote.,printemps,4.98,220
Application de compost,Utilisation de pesticides biologiques pour protéger les cultures.,hiver,19.79,221
Éclaircissage,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,11.66,222
Technique D'engrais vert,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,automne,15.04,223
Mulchage,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,11.07,224
Mulchage,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,6.16,225
Traitement des semences,Culture en serre pour contrôler les conditions de croissance.,hiver,14.11,226
Irrigation goutte à goutte,Traitement des graines par la chaleur pour les protéger des maladies.,été,6.75,227
Enrichissement en mycorhizes,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,11.61,228
Fertilisation au compost,Élagage des arbres pour améliorer l'exposition au soleil.,été,7.28,229
Enrichissement en mycorhizes,Application de fumier pour enrichir le sol en nutriments.,printemps,1.29,230
Irrigation goutte à goutte,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,été,15.45,231
Irrigation goutte à goutte,Traitement des graines par la chaleur pour les protéger des maladies.,automne,8.1,232
Utilisation de variétés résistantes,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,19.57,233
Fertilisation au compost,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,hiver,12.45,234
Application de compost,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,hiver,19.03,235
Utilisation de cultures couvre-sol,Minimisation du labour pour préserver la structure du sol.,été,12.14,236
Mulchage,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,hiver,5.01,237
Éclaircissage,Minimisation du labour pour préserver la structure du sol.,été,8.4,238
Paillage,Rotation des cultures pour réduire les parasites et maladies du sol.,été,10.92,239
Inoculation bactérienne,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,printemps,9.57,240
Éclaircissage,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,6.4,241
Irrigation goutte à goutte,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,été,1.13,242
Désherbage manuel,Suppression des plants trop proches pour favoriser la croissance des autres.,automne,7.37,243
Désherbage manuel,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,1.8,244
Désherbage manuel,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,été,13.12,245
Utilisation de variétés résistantes,Utilisation de pesticides biologiques pour protéger les cultures.,hiver,1.25,246
Désherbage manuel,Minimisation du labour pour préserver la structure du sol.,printemps,1.44,247
Contrôle biologique des nuisibles,Utilisation de pesticides biologiques pour protéger les cultures.,automne,15.08,248
Désherbage manuel,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,20.92,249
Mulchage,Traitement des graines par la chaleur pour les protéger des maladies.,été,19.49,250
Culture en serre,Minimisation du labour pour préserver la structure du sol.,été,5.33,251
Désherbage manuel,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,hiver,7.66,252
Application de biopesticides,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,19.73,253
Fertilisation foliaire,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,hiver,15.72,254
Traitement des semences,Semis de graines directement sans travail préalable du sol.,automne,6.84,255
Semis direct,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,19.91,256
Mulchage,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,été,4.87,257
Utilisation de cultures couvre-sol,Suppression des plants trop proches pour favoriser la croissance des autres.,été,20.94,258
Fertilisation au compost,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,été,12.15,259
Utilisation de cultures couvre-sol,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,18.49,260
Éclaircissage,Application de fumier pour enrichir le sol en nutriments.,été,12.46,261
Culture en serre,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,printemps,19.85,262
Technique D'engrais vert,Récolte manuelle pour minimiser les pertes de récolte.,automne,15.0,263
Contrôle biologique des nuisibles,Culture en serre pour contrôler les conditions de croissance.,hiver,5.67,264
Technique D'engrais vert,Suppression des plants trop proches pour favoriser la croissance des autres.,automne,5.74,265
Culture en serre,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,3.67,266
Application de biopesticides,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,printemps,1.57,267
Désherbage manuel,Ajout de biofertilisants pour stimuler la croissance des plantes.,été,18.1,268
Rotation des cultures,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,automne,1.48,269
Éclaircissage,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,été,20.87,270
Utilisation de variétés résistantes,Utilisation de pesticides biologiques pour protéger les cultures.,été,3.25,271
Utilisation de variétés résistantes,Utilisation de cultures de couverture pour améliorer la santé du sol.,printemps,15.51,272
Inoculation bactérienne,Utilisation de cultures de couverture pour améliorer la santé du sol.,été,1.83,273
Utilisation de variétés résistantes,Minimisation du labour pour préserver la structure du sol.,printemps,11.05,274
Fertilisation foliaire,Minimisation du labour pour préserver la structure du sol.,automne,5.6,275
Éclaircissage,Culture en serre pour contrôler les conditions de croissance.,été,9.84,276
Désherbage manuel,Utilisation de cultures de couverture pour améliorer la santé du sol.,hiver,17.22,277
Paillage,Élagage des arbres pour améliorer l'exposition au soleil.,automne,17.09,278
Enrichissement en mycorhizes,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,hiver,13.51,279
Irrigation goutte à goutte,Utilisation de pesticides biologiques pour protéger les cultures.,été,13.43,280
Culture en serre,Utilisation de cultures de couverture pour améliorer la santé du sol.,printemps,8.32,281
Contrôle biologique des nuisibles,Ajout de compost pour améliorer la matière organique du sol.,été,4.72,282
Inoculation bactérienne,Utilisation de cultures de couverture pour améliorer la santé du sol.,hiver,2.78,283
Fertilisation au compost,Récolte manuelle pour minimiser les pertes de récolte.,printemps,6.07,284
Application de compost,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,printemps,7.03,285
Éclaircissage,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,automne,2.58,286
Technique D'engrais vert,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,1.88,287
Éclaircissage,Suppression des plants trop proches pour favoriser la croissance des autres.,été,5.15,288
Éclaircissage,Rotation des cultures pour réduire les parasites et maladies du sol.,automne,7.7,289
Utilisation de variétés résistantes,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,printemps,18.57,290
Semis direct,Suppression des plants trop proches pour favoriser la croissance des autres.,automne,6.65,291
Mulchage,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,19.17,292
Fertilisation foliaire,Traitement des graines par la chaleur pour les protéger des maladies.,été,12.27,293
Application de biopesticides,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,été,12.21,294
Irrigation goutte à goutte,Plantation de deux cultures différentes sur la même parcelle pour maximiser l’espace.,hiver,7.0,295
Rotation des cultures,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,4.45,296
Éclaircissage des plants,Récolte manuelle pour minimiser les pertes de récolte.,hiver,1.16,297
Technique D'engrais vert,Ajout de compost pour améliorer la matière organique du sol.,printemps,6.82,298
Enrichissement en mycorhizes,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,13.73,299
Technique D'engrais vert,Élagage des arbres pour améliorer l'exposition au soleil.,automne,2.15,300
