culture,technique
Fèves,Utilisation de variétés résistantes
Safran,Semis direct
Safran,Inoculation bactérienne
Safran,Culture en serre
Coco,Technique D'engrais vert
Coco,Désherbage manuel
Romarin,Désherbage manuel
Romarin,Traitement des semences
Romarin,Enrichissement en mycorhizes
Rhubarbe,Mulchage
Rhubarbe,Désherbage manuel
Laitue,Utilisation de cultures couvre-sol
Laitue,Technique D'engrais vert
Prunier,Fertilisation foliaire
Prunier,Désherbage manuel
Prunier,Éclaircissage des plants
Abricotier,Éclaircissage des plants
Abricotier,Rotation des cultures
Rhubarbe,Enrichissement en mycorhizes
Rhubarbe,Irrigation goutte à goutte
Safran,Traitement des semences
Safran,Irrigation goutte à goutte
Baobab,Rotation des cultures
Baobab,Application de biopesticides
Camomille,Utilisation de variétés résistantes
Camomille,Irrigation goutte à goutte
Camomille,Fertilisation foliaire
Champignon shiitake,Inoculation bactérienne
Champignon shiitake,Utilisation de cultures couvre-sol
Champignon shiitake,Désherbage manuel
Palmier dattier,Technique D'engrais vert
Palmier dattier,Éclaircissage
Palmier dattier,Utilisation de cultures couvre-sol
Canistel,Fertilisation foliaire
Canistel,Semis direct
Canistel,Technique D'engrais vert
Banane plantain,Éclaircissage
Banane plantain,Semis direct
Safran,Fertilisation au compost
Safran,Fertilisation au compost
Safran,Utilisation de cultures couvre-sol
Champignon shiitake,Irrigation goutte à goutte
Champignon shiitake,Éclaircissage
Champignon shiitake,Semis direct
Ciboulette,Mulchage
Ciboulette,Mulchage
Ciboulette,Éclaircissage des plants
Quinoa,Mulchage
Quinoa,Utilisation de variétés résistantes
Pois,Éclaircissage des plants
Pois,Traitement des semences
Papyrus,Mulchage
Papyrus,Fertilisation foliaire
Papyrus,Désherbage manuel
Ail,Technique D'engrais vert
Ail,Éclaircissage
Maïs sucré,Éclaircissage
Maïs sucré,Application de compost
Maïs sucré,Irrigation goutte à goutte
Maïs sucré,Contrôle biologique des nuisibles
Maïs sucré,Éclaircissage
Cacao,Paillage
Cacao,Contrôle biologique des nuisibles
Cacao,Application de compost
Pois,Culture en serre
Pois,Culture en serre
Blé tendre,Désherbage manuel
Blé tendre,Traitement des semences
Blé tendre,Inoculation bactérienne
Romarin,Contrôle biologique des nuisibles
Romarin,Paillage
Blé dur,Désherbage manuel
Blé dur,Enrichissement en mycorhizes
Blé dur,Irrigation goutte à goutte
Safran,Fertilisation foliaire
Safran,Technique D'engrais vert
Coco,Enrichissement en mycorhizes
Coco,Désherbage manuel
Coco,Désherbage manuel
Acacia,Culture en serre
Acacia,Mulchage
Acacia,Irrigation goutte à goutte
Courgettes,Mulchage
Courgettes,Éclaircissage des plants
Courgettes,Application de biopesticides
Lentilles,Éclaircissage des plants
Lentilles,Application de compost
Menthe,Contrôle biologique des nuisibles
Menthe,Utilisation de cultures couvre-sol
Menthe,Fertilisation foliaire
Tournesol,Irrigation goutte à goutte
Tournesol,Application de compost
Rhubarbe,Éclaircissage
Rhubarbe,Paillage
Rhubarbe,Enrichissement en mycorhizes
Kiwi,Culture en serre
Kiwi,Fertilisation au compost
Kiwi,Désherbage manuel
Noix de cajou,Utilisation de variétés résistantes
Noix de cajou,Traitement des semences
Noix de cajou,Irrigation goutte à goutte
Nectarine,Éclaircissage
Nectarine,Culture en serre
Nectarine,Rotation des cultures
Bambou,Désherbage manuel
Bambou,Utilisation de variétés résistantes
Bambou,Enrichissement en mycorhizes
Lavande,Utilisation de variétés résistantes
Lavande,Culture en serre
Poivron rouge,Culture en serre
Poivron rouge,Traitement des semences
Poivron rouge,Contrôle biologique des nuisibles
Origan,Désherbage manuel
Origan,Fertilisation au compost
Origan,Contrôle biologique des nuisibles
Luzerne,Culture en serre
Luzerne,Utilisation de variétés résistantes
Palmier dattier,Inoculation bactérienne
Palmier dattier,Application de biopesticides
Haricot mungo,Utilisation de variétés résistantes
Haricot mungo,Désherbage manuel
Haricot mungo,Éclaircissage
Lin oléagineux,Éclaircissage des plants
Lin oléagineux,Inoculation bactérienne
Coco,Mulchage
Coco,Enrichissement en mycorhizes
Chou frisé,Technique D'engrais vert
Chou frisé,Utilisation de cultures couvre-sol
Chou frisé,Éclaircissage des plants
Tournesol,Fertilisation foliaire
Tournesol,Utilisation de variétés résistantes
Camomille,Éclaircissage
Camomille,Éclaircissage
Bette à carde,Irrigation goutte à goutte
Bette à carde,Fertilisation au compost
Framboise,Culture en serre
Framboise,Paillage
Chou cavalier,Désherbage manuel
Chou cavalier,Fertilisation foliaire
Chou cavalier,Utilisation de variétés résistantes
Chou cavalier,Paillage
Vigne à raisin,Semis direct
Vigne à raisin,Application de compost
Lin oléagineux,Culture en serre
Lin oléagineux,Enrichissement en mycorhizes
Lin oléagineux,Culture en serre
Chou-fleur,Éclaircissage des plants
Chou-fleur,Technique D'engrais vert
Chou-fleur,Fertilisation foliaire
Cacao,Contrôle biologique des nuisibles
Cacao,Désherbage manuel
Amandier,Application de biopesticides
Amandier,Utilisation de variétés résistantes
Colza,Application de compost
Colza,Inoculation bactérienne
Colza,Inoculation bactérienne
Kumquat,Application de compost
Kumquat,Traitement des semences
Pak choï,Traitement des semences
Pak choï,Inoculation bactérienne
Coco,Rotation des cultures
Coco,Semis direct
Coco,Application de biopesticides
Ciboulette,Rotation des cultures
Ciboulette,Technique D'engrais vert
Lentilles,Inoculation bactérienne
Lentilles,Irrigation goutte à goutte
Lentilles,Désherbage manuel
Lentilles,Contrôle biologique des nuisibles
Radis,Semis direct
Radis,Application de compost
Riz paddy,Fertilisation au compost
Riz paddy,Désherbage manuel
Riz paddy,Éclaircissage des plants
Coco,Traitement des semences
Coco,Désherbage manuel
Coco,Semis direct
Pommes de terre,Fertilisation foliaire
Pommes de terre,Désherbage manuel
Pommes de terre,Utilisation de cultures couvre-sol
Avoine nue,Application de biopesticides
Avoine nue,Éclaircissage
Avoine nue,Fertilisation au compost
Mûre,Semis direct
Mûre,Utilisation de cultures couvre-sol
Pommier,Semis direct
Pommier,Inoculation bactérienne
Poivron rouge,Irrigation goutte à goutte
Poivron rouge,Désherbage manuel
Papyrus,Mulchage
Papyrus,Fertilisation au compost
Papyrus,Utilisation de cultures couvre-sol
Papyrus,Paillage
Bambou,Paillage
Bambou,Désherbage manuel
Aubergine,Enrichissement en mycorhizes
Aubergine,Fertilisation foliaire
Aubergine,Fertilisation foliaire
Piment vert,Éclaircissage
Piment vert,Désherbage manuel
Radis,Irrigation goutte à goutte
Radis,Irrigation goutte à goutte
Riz paddy,Paillage
Riz paddy,Utilisation de cultures couvre-sol
Riz paddy,Rotation des cultures
Théier,Utilisation de cultures couvre-sol
Théier,Application de compost
Ananas,Utilisation de variétés résistantes
Ananas,Irrigation goutte à goutte
Baobab,Désherbage manuel
Baobab,Utilisation de cultures couvre-sol
Baobab,Culture en serre
Carottes,Utilisation de variétés résistantes
Carottes,Fertilisation foliaire
Carottes,Rotation des cultures
Caféier,Rotation des cultures
Caféier,Technique D'engrais vert
Caféier,Application de compost
Navet,Fertilisation foliaire
Navet,Application de compost
Pak choï,Fertilisation foliaire
Pak choï,Enrichissement en mycorhizes
Artichaut,Technique D'engrais vert
Artichaut,Mulchage
Basilic,Enrichissement en mycorhizes
Basilic,Technique D'engrais vert
Canne à sucre,Paillage
Canne à sucre,Fertilisation foliaire
Canne à sucre,Application de biopesticides
Brocoli,Contrôle biologique des nuisibles
Brocoli,Paillage
Mizuna,Fertilisation au compost
Mizuna,Utilisation de variétés résistantes
Bette à carde,Utilisation de cultures couvre-sol
Bette à carde,Enrichissement en mycorhizes
Gingembre,Application de compost
Gingembre,Éclaircissage
Camomille,Application de biopesticides
Camomille,Traitement des semences
Camomille,Fertilisation foliaire
Cannelle,Désherbage manuel
Cannelle,Culture en serre
Cannelle,Utilisation de cultures couvre-sol
Haricot mungo,Irrigation goutte à goutte
Haricot mungo,Désherbage manuel
Haricot mungo,Fertilisation au compost
Kiwi,Contrôle biologique des nuisibles
Kiwi,Mulchage
Kiwi,Éclaircissage
Safran,Désherbage manuel
Safran,Fertilisation foliaire
Safran,Application de biopesticides
Noyer,Culture en serre
Noyer,Application de compost
Pois chiche,Éclaircissage des plants
Pois chiche,Enrichissement en mycorhizes
Pois chiche,Éclaircissage
Blé dur,Culture en serre
Blé dur,Technique D'engrais vert
Blé dur,Éclaircissage des plants
Mûre,Application de biopesticides
Mûre,Désherbage manuel
Mûre,Utilisation de variétés résistantes
Figuier,Irrigation goutte à goutte
Figuier,Technique D'engrais vert
Lentilles,Irrigation goutte à goutte
Lentilles,Paillage
Pêcher,Éclaircissage des plants
Pêcher,Semis direct
Pommes de terre,Désherbage manuel
Pommes de terre,Rotation des cultures
Chou cavalier,Mulchage
Chou cavalier,Fertilisation au compost
Chou cavalier,Utilisation de cultures couvre-sol
Baies de goji,Enrichissement en mycorhizes
Baies de goji,Utilisation de cultures couvre-sol
Baies de goji,Utilisation de cultures couvre-sol
Artichaut,Irrigation goutte à goutte
Artichaut,Application de compost
Artichaut,Rotation des cultures
Pêcher,Contrôle biologique des nuisibles
Pêcher,Utilisation de cultures couvre-sol
Pêcher,Application de compost
Grenadier,Fertilisation foliaire
Grenadier,Application de biopesticides
Grenadier,Traitement des semences
Ciboulette,Traitement des semences
Ciboulette,Désherbage manuel
Ciboulette,Éclaircissage
Chou-fleur,Technique D'engrais vert
Chou-fleur,Contrôle biologique des nuisibles
Noix de cajou,Éclaircissage
Noix de cajou,Enrichissement en mycorhizes
Cacao,Éclaircissage
Cacao,Enrichissement en mycorhizes
Menthe,Fertilisation foliaire
Menthe,Éclaircissage des plants
Menthe,Inoculation bactérienne
Safran,Irrigation goutte à goutte
Safran,Fertilisation au compost
Camomille,Éclaircissage
Camomille,Désherbage manuel
Camomille,Application de compost
Luzerne,Éclaircissage
Luzerne,Semis direct
Châtaignier,Éclaircissage
Châtaignier,Éclaircissage
Châtaignier,Utilisation de variétés résistantes
Tamarin,Application de compost
Tamarin,Éclaircissage des plants
Tamarin,Semis direct
Gingembre,Inoculation bactérienne
Gingembre,Culture en serre
Gingembre,Paillage
Luzerne,Irrigation goutte à goutte
Luzerne,Éclaircissage des plants
Théier,Application de compost
Théier,Enrichissement en mycorhizes
Théier,Rotation des cultures
Pois,Semis direct
Pois,Irrigation goutte à goutte
Pois,Traitement des semences
Navet,Éclaircissage des plants
Navet,Inoculation bactérienne
Prunier,Désherbage manuel
Prunier,Éclaircissage des plants
Prunier,Irrigation goutte à goutte
Manguier,Utilisation de variétés résistantes
Manguier,Utilisation de variétés résistantes
Chou rouge,Technique D'engrais vert
Chou rouge,Application de biopesticides
Chou rouge,Paillage
Maïs sucré,Éclaircissage
Maïs sucré,Fertilisation au compost
Blé dur,Fertilisation au compost
Blé dur,Utilisation de cultures couvre-sol
Blé dur,Paillage
Noix de cajou,Technique D'engrais vert
Noix de cajou,Culture en serre
Noix de cajou,Culture en serre
Vesce,Éclaircissage des plants
Vesce,Utilisation de cultures couvre-sol
Vesce,Traitement des semences
Papyrus,Inoculation bactérienne
Papyrus,Utilisation de cultures couvre-sol
Arachide,Irrigation goutte à goutte
Arachide,Désherbage manuel
Arachide,Paillage
Jujubier,Rotation des cultures
Jujubier,Désherbage manuel
Jujubier,Application de compost
Menthe,Utilisation de variétés résistantes
Menthe,Fertilisation au compost
Menthe,Fertilisation foliaire
Poivron rouge,Application de compost
Poivron rouge,Utilisation de cultures couvre-sol
Poivron rouge,Application de biopesticides
Avoine nue,Éclaircissage
Avoine nue,Utilisation de cultures couvre-sol
Avoine nue,Traitement des semences
Banane plantain,Contrôle biologique des nuisibles
Banane plantain,Semis direct
Banane plantain,Désherbage manuel
Laitue,Désherbage manuel
Laitue,Technique D'engrais vert
Avoine nue,Éclaircissage
Avoine nue,Semis direct
Olives,Fertilisation foliaire
Olives,Semis direct
Olives,Utilisation de cultures couvre-sol
Brocoli,Désherbage manuel
Brocoli,Désherbage manuel
Maïs sucré,Paillage
Maïs sucré,Rotation des cultures
Maïs sucré,Utilisation de variétés résistantes
Arbre à pain,Mulchage
Arbre à pain,Semis direct
Tamarin,Fertilisation foliaire
Tamarin,Enrichissement en mycorhizes
Tamarin,Fertilisation au compost
Tomates,Désherbage manuel
Tomates,Application de compost
Tomates,Semis direct
Millet,Application de compost
Millet,Technique D'engrais vert
Millet,Application de biopesticides
Palmier dattier,Fertilisation au compost
Palmier dattier,Application de biopesticides
Palmier dattier,Traitement des semences
Radis,Irrigation goutte à goutte
Radis,Technique D'engrais vert
Radis,Enrichissement en mycorhizes
Ananas,Désherbage manuel
Ananas,Éclaircissage
Vesce,Technique D'engrais vert
Vesce,Irrigation goutte à goutte
Vesce,Utilisation de cultures couvre-sol
Navet,Fertilisation foliaire
Navet,Utilisation de cultures couvre-sol
Litchi,Inoculation bactérienne
Litchi,Rotation des cultures
Tamarin,Éclaircissage
Tamarin,Irrigation goutte à goutte
Courgettes,Fertilisation foliaire
Courgettes,Application de compost
Origan,Technique D'engrais vert
Origan,Contrôle biologique des nuisibles
Poivron rouge,Désherbage manuel
Poivron rouge,Culture en serre
Poivron rouge,Semis direct
Gingembre,Technique D'engrais vert
Gingembre,Contrôle biologique des nuisibles
Épinard,Fertilisation au compost
Épinard,Fertilisation foliaire
Arachide,Éclaircissage
Arachide,Désherbage manuel
Pêcher,Fertilisation au compost
Pêcher,Paillage
Pêcher,Éclaircissage
Canistel,Traitement des semences
Canistel,Application de compost
Canistel,Technique D'engrais vert
Pois chiche,Enrichissement en mycorhizes
Pois chiche,Rotation des cultures
Papyrus,Irrigation goutte à goutte
Papyrus,Utilisation de cultures couvre-sol
Papyrus,Irrigation goutte à goutte
Palmier dattier,Culture en serre
Palmier dattier,Utilisation de variétés résistantes
Palmier dattier,Désherbage manuel
Noisetier,Fertilisation foliaire
Noisetier,Éclaircissage
Champignon shiitake,Traitement des semences
Champignon shiitake,Fertilisation foliaire
Courgettes,Utilisation de variétés résistantes
Courgettes,Fertilisation au compost
Tournesol,Utilisation de variétés résistantes
Tournesol,Application de compost
Lentilles,Application de compost
Lentilles,Culture en serre
Gingembre,Culture en serre
Gingembre,Semis direct
Amandier,Utilisation de variétés résistantes
Amandier,Culture en serre
Épinard,Inoculation bactérienne
Épinard,Irrigation goutte à goutte
Maïs sucré,Fertilisation foliaire
Maïs sucré,Application de biopesticides
Acacia,Éclaircissage des plants
Acacia,Mulchage
Acacia,Rotation des cultures
Myrtille,Application de biopesticides
Myrtille,Contrôle biologique des nuisibles
Myrtille,Désherbage manuel
Nectarine,Contrôle biologique des nuisibles
Nectarine,Éclaircissage
Muscade,Paillage
Muscade,Éclaircissage des plants
Rhubarbe,Irrigation goutte à goutte
Rhubarbe,Désherbage manuel
Coton,Irrigation goutte à goutte
Coton,Utilisation de variétés résistantes
Coton,Paillage
Litchi,Contrôle biologique des nuisibles
Litchi,Rotation des cultures
Betterave sucrière,Désherbage manuel
Betterave sucrière,Désherbage manuel
Mizuna,Utilisation de variétés résistantes
Mizuna,Contrôle biologique des nuisibles
Persil,Mulchage
Persil,Application de compost
Persil,Éclaircissage des plants
Tomates,Inoculation bactérienne
Tomates,Fertilisation foliaire
Tomates,Rotation des cultures
Noix de cajou,Paillage
Noix de cajou,Rotation des cultures
Champignon pleurote,Application de biopesticides
Champignon pleurote,Utilisation de cultures couvre-sol
Coco,Désherbage manuel
Coco,Technique D'engrais vert
Lin oléagineux,Semis direct
Lin oléagineux,Paillage
Lin oléagineux,Fertilisation au compost
Nectarine,Enrichissement en mycorhizes
Nectarine,Contrôle biologique des nuisibles
Vanille,Technique D'engrais vert
Vanille,Utilisation de variétés résistantes
Baies de goji,Inoculation bactérienne
Baies de goji,Mulchage
Poirier,Irrigation goutte à goutte
Poirier,Irrigation goutte à goutte
Chou frisé,Fertilisation au compost
Chou frisé,Utilisation de cultures couvre-sol
Chou frisé,Contrôle biologique des nuisibles
Amandier,Utilisation de variétés résistantes
Amandier,Désherbage manuel
Arbre à pain,Utilisation de variétés résistantes
Arbre à pain,Éclaircissage
Nectarine,Rotation des cultures
Nectarine,Éclaircissage
Nectarine,Traitement des semences
Chou cavalier,Semis direct
Chou cavalier,Utilisation de variétés résistantes
Quinoa,Éclaircissage
Quinoa,Technique D'engrais vert
Quinoa,Désherbage manuel
Vigne à raisin,Semis direct
Vigne à raisin,Éclaircissage
Vigne à raisin,Application de compost
Coton,Application de biopesticides
Coton,Fertilisation foliaire
Pois,Semis direct
Pois,Irrigation goutte à goutte
Kumquat,Enrichissement en mycorhizes
Kumquat,Application de biopesticides
Kumquat,Paillage
Litchi,Culture en serre
Litchi,Désherbage manuel
Litchi,Application de biopesticides
Aubergine,Fertilisation au compost
Aubergine,Éclaircissage
Laitue,Traitement des semences
Laitue,Application de compost
Chou-fleur,Inoculation bactérienne
Chou-fleur,Mulchage
Chou-fleur,Irrigation goutte à goutte
Canistel,Paillage
Canistel,Traitement des semences
Noyer,Paillage
Noyer,Éclaircissage des plants
Manioc,Mulchage
Manioc,Utilisation de variétés résistantes
Manioc,Fertilisation foliaire
Mizuna,Désherbage manuel
Mizuna,Mulchage
Betterave sucrière,Enrichissement en mycorhizes
Betterave sucrière,Fertilisation foliaire
Anis étoilé,Éclaircissage
Anis étoilé,Rotation des cultures
Jujubier,Utilisation de cultures couvre-sol
Jujubier,Fertilisation foliaire
Tamarin,Traitement des semences
Tamarin,Désherbage manuel
Tamarin,Désherbage manuel
Banane plantain,Application de compost
Banane plantain,Inoculation bactérienne
Banane plantain,Contrôle biologique des nuisibles
Lavande,Rotation des cultures
Lavande,Désherbage manuel
Théier,Utilisation de variétés résistantes
Théier,Désherbage manuel
Théier,Fertilisation foliaire
